PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
07895		0.201057	0.037048	10.168463	0.008392	0.007057	0.000000	-0.408691	0.049805	-0.591797
07896		0.163742	-0.010827	10.162359	0.012016	0.005722	-0.007629	-0.408936	0.058838	-0.598633
07897		0.164282	0.012677	10.137947	0.009155	0.010109	-0.006866	-0.414062	0.061279	-0.592773
07898		0.169119	-0.010831	10.076917	0.010300	0.014496	0.001335	-0.408936	0.061035	-0.598877
07899		0.194800	0.012752	10.131845	0.010681	0.010109	-0.003815	-0.411377	0.056641	-0.592285
07900		0.175315	0.001423	10.131847	0.007439	0.012589	0.003624	-0.411377	0.054199	-0.592041
07901		0.176375	-0.012391	10.125743	-0.003815	0.012398	-0.009918	-0.413818	0.052002	-0.588867
07902		0.175182	-0.012217	10.137950	0.007248	0.011444	-0.004578	-0.408936	0.056396	-0.595459
07903		0.164245	0.000579	10.113534	0.011444	0.010872	0.000000	-0.409180	0.061035	-0.592773
07904		0.169156	-0.010837	10.113536	0.004387	0.011826	-0.004005	-0.408691	0.052002	-0.600830
07905		0.164051	-0.006213	10.137951	-0.002289	0.014687	-0.008392	-0.408936	0.056396	-0.595459
07906		0.168357	-0.006407	10.046404	-0.000381	0.020218	-0.001526	-0.404297	0.056396	-0.586426
07907		0.157912	-0.029626	10.107437	0.017548	0.015450	-0.006104	-0.411377	0.056641	-0.586426
07908		0.162537	-0.010304	10.113536	0.003624	0.012589	-0.004005	-0.408936	0.056396	-0.598389
07909		0.194415	0.012565	10.107439	0.006866	0.017738	-0.011444	-0.418701	0.059082	-0.592529
07910		0.180601	-0.004689	10.089124	0.014496	0.013733	-0.017548	-0.411377	0.054199	-0.592041
07911		0.170426	0.000353	10.113533	0.006866	0.009346	-0.006866	-0.408691	0.049805	-0.591797
07912		0.181822	-0.011355	10.168463	0.003624	0.006485	-0.000191	-0.411377	0.056641	-0.592285
07913		0.194647	0.024578	10.095227	0.003052	0.013161	-0.009918	-0.411377	0.056641	-0.586426
07914		0.198927	-0.005519	10.089134	0.005722	0.022888	-0.009346	-0.408936	0.056396	-0.595459
07915		0.200520	0.012871	10.095232	0.012970	0.017738	-0.009155	-0.411377	0.054443	-0.586182
07916		0.186917	-0.022793	10.076914	0.007439	0.009537	-0.007057	-0.406250	0.049561	-0.594727
07917		0.170272	-0.011810	10.113536	0.007629	0.012398	-0.013733	-0.411377	0.054199	-0.592041
07918		0.180977	0.019294	10.137953	0.004196	0.015640	-0.008583	-0.411133	0.054199	-0.595215
07919		0.188428	-0.018119	10.107437	0.003815	0.015450	0.001526	-0.413818	0.058838	-0.595459
07920		0.156432	0.006678	10.137949	0.005531	0.012589	-0.010681	-0.406494	0.054199	-0.586182
07921		0.176109	-0.024177	10.076921	0.004578	0.017738	-0.007629	-0.403809	0.051758	-0.594971
07922		0.161902	-0.011579	10.119647	0.004959	0.021362	0.005150	-0.408936	0.054199	-0.592285
07923		0.194490	-0.006446	10.150162	-0.006866	0.016212	-0.006104	-0.411621	0.058838	-0.583496
07924		0.180848	-0.006501	10.131846	0.007057	0.010681	-0.009155	-0.406250	0.054199	-0.598145
07925		0.164785	-0.023721	10.125734	0.013733	0.000191	0.002289	-0.411621	0.056641	-0.583252
07926		0.188400	0.001570	10.113443	0.004578	0.014114	-0.004005	-0.408691	0.052002	-0.594971
07927		0.219258	-0.011856	10.040294	0.006866	0.009346	-0.005341	-0.413818	0.056641	-0.595215
07928		0.193682	0.000626	10.137952	-0.000954	0.013351	-0.007057	-0.408691	0.052002	-0.594971
07929		0.188620	0.000513	10.131847	0.009918	0.011635	-0.010681	-0.408936	0.056641	-0.592285
07930		0.193476	-0.017259	10.089123	0.001907	0.011826	-0.001717	-0.408936	0.056641	-0.592285
07931		0.201060	-0.011848	10.119636	0.006866	0.007057	-0.011444	-0.411377	0.056641	-0.586426
07932		0.200123	0.006717	10.107432	-0.001144	0.010490	-0.003242	-0.411377	0.058838	-0.595459
07933		0.182211	-0.005830	10.089128	0.005341	0.017738	-0.004578	-0.408936	0.054199	-0.589111
07934		0.205097	0.018932	10.162366	0.002861	0.012016	0.000572	-0.411377	0.054199	-0.592041
07935		0.206892	-0.005711	10.131849	0.007629	0.012398	-0.006104	-0.411133	0.049805	-0.591797
07936		0.175069	-0.005073	10.119639	0.005150	0.011826	-0.007820	-0.408936	0.054199	-0.589111
07937		0.182444	-0.011818	10.064710	0.007629	0.013161	-0.006104	-0.408936	0.056641	-0.586426
07938		0.163122	-0.023505	10.137945	0.002861	0.006676	-0.001717	-0.411377	0.056641	-0.592285
07939		0.176142	-0.012154	10.137954	0.000763	0.016975	-0.016785	-0.411133	0.052002	-0.592041
07940		0.199160	-0.011342	10.113537	0.015068	0.010681	-0.007629	-0.403809	0.051758	-0.592041
07941		0.170119	-0.011900	10.095228	0.006104	0.015450	0.000763	-0.413818	0.054443	-0.589111
07942		0.162575	-0.054048	10.131847	0.006104	0.011826	-0.002289	-0.411377	0.054199	-0.589111
07943		0.176261	-0.023907	10.107436	0.009918	0.014687	-0.006866	-0.406494	0.052002	-0.589111
07944		0.186523	-0.029151	10.131859	0.008202	0.022888	0.002861	-0.411377	0.056641	-0.589355
07945		0.194723	0.006523	10.131847	0.008392	0.011635	0.006104	-0.408936	0.054199	-0.589111
07946		0.180811	-0.029141	10.052511	0.012207	0.020981	-0.000191	-0.411621	0.061035	-0.592773
07947		0.163902	-0.023983	10.083023	0.008392	0.017738	-0.009155	-0.411621	0.058838	-0.589600
07948		0.199190	-0.004872	10.089120	0.007248	0.008202	-0.007629	-0.413818	0.058838	-0.589600
07949		0.194261	-0.005909	10.119649	0.003815	0.020790	-0.001526	-0.408936	0.054199	-0.589111
07950		0.174267	0.006783	10.113536	0.007629	0.012589	-0.009155	-0.411133	0.054199	-0.598145
07951		0.152271	-0.024366	10.125737	0.000763	0.006294	-0.012970	-0.406494	0.058594	-0.598633
07952		0.163086	-0.005574	10.113543	0.010490	0.020599	0.001335	-0.406250	0.052002	-0.594971
07953		0.182482	0.012475	10.064708	0.005341	0.012398	0.000763	-0.411377	0.056641	-0.592285
07954		0.187825	0.000758	10.076907	0.005531	0.002861	-0.003052	-0.406494	0.058594	-0.598633
07955		0.194687	-0.018040	10.089124	0.005341	0.012398	-0.000763	-0.406494	0.058838	-0.592529
07956		0.187362	-0.017776	10.101330	0.001144	0.012016	-0.000191	-0.413574	0.054443	-0.594971
07957		0.176568	-0.005290	10.113533	0.016022	0.008583	-0.003815	-0.413574	0.054443	-0.594971
07958		0.175587	-0.022321	10.089122	0.011063	0.011063	-0.010109	-0.408691	0.054199	-0.595215
07959		0.176338	-0.017957	10.101331	0.006866	0.013161	-0.007629	-0.411377	0.056641	-0.592285
07960		0.186910	-0.016996	10.107441	0.012779	0.019073	-0.001526	-0.404053	0.056396	-0.592529
07961		0.194955	-0.017808	10.119637	0.009918	0.007057	-0.000763	-0.408691	0.052002	-0.592041
07962		0.169532	-0.041356	10.052502	0.008202	0.012016	-0.003242	-0.408936	0.052002	-0.588867
07963		0.163976	-0.012096	10.101332	0.002289	0.016212	0.006104	-0.411377	0.054199	-0.589111
07964		0.199373	-0.011460	10.095222	0.010872	0.006485	-0.007629	-0.408936	0.056641	-0.592285
07965		0.176606	-0.017573	10.125741	0.014496	0.007820	-0.004578	-0.409180	0.058838	-0.589600
07966		0.200259	-0.004347	10.125738	0.006294	0.005913	-0.007057	-0.411377	0.056641	-0.592285
07967		0.170505	-0.011970	10.070808	0.004578	0.007820	-0.007629	-0.408691	0.054199	-0.598145
07968		0.187967	-0.005155	10.052498	0.011253	0.007629	-0.001526	-0.413818	0.056641	-0.592285
07969		0.151771	0.000351	10.076917	0.006866	0.016212	-0.006104	-0.411377	0.054443	-0.586182
07970		0.174382	-0.017159	10.076922	0.009537	0.019836	-0.004005	-0.411133	0.054199	-0.595215
07971		0.157602	0.000389	10.113542	0.007629	0.021553	-0.003815	-0.408936	0.054199	-0.586182
07972		0.173642	-0.005194	10.028097	0.002861	0.023270	-0.004005	-0.411377	0.054199	-0.589111
07973		0.188659	0.000089	10.113536	0.001526	0.010872	-0.012970	-0.406494	0.054199	-0.589111
07974		0.187044	0.024645	10.095233	0.002670	0.020218	-0.000954	-0.408936	0.056641	-0.592285
07975		0.158061	-0.011895	10.174571	0.006104	0.012398	-0.001526	-0.413818	0.052002	-0.588867
07976		0.187227	0.000709	10.125744	0.002670	0.012779	-0.001717	-0.413818	0.058838	-0.589600
07977		0.164131	0.030979	10.089121	0.009155	0.013161	0.000000	-0.416260	0.054443	-0.585938
07978		0.193165	-0.017012	10.131852	0.008774	0.016022	0.004387	-0.413818	0.052002	-0.588867
07979		0.188776	-0.005831	10.089120	0.005341	0.008583	-0.003052	-0.408936	0.056641	-0.589355
07980		0.199571	-0.011153	10.150167	0.011253	0.019455	-0.006294	-0.406250	0.052002	-0.594971
07981		0.182400	-0.005324	10.137953	0.015259	0.013924	-0.006104	-0.411377	0.056641	-0.589355
07982		0.187065	-0.003971	10.107435	0.011826	0.014114	-0.010109	-0.406494	0.054199	-0.589111
07983		0.194761	-0.018078	10.144054	0.004578	0.010872	-0.000763	-0.408936	0.054199	-0.592285
07984		0.199702	-0.011494	10.131848	0.006485	0.011253	-0.003242	-0.411377	0.052002	-0.588867
07985		0.188389	-0.011617	10.125748	0.011444	0.016212	-0.011444	-0.411621	0.058838	-0.589600
07986		0.186510	-0.004469	10.101337	0.009537	0.019455	-0.009346	-0.411133	0.052002	-0.592041
07987		0.200943	0.006570	10.113535	0.009155	0.009346	-0.003815	-0.409180	0.058838	-0.586670
07988		0.187545	-0.029559	10.101332	0.001717	0.014114	-0.013924	-0.416260	0.054443	-0.589111
07989		0.164130	-0.011780	10.107433	0.008392	0.013161	-0.003815	-0.411377	0.056641	-0.592285
07990		0.174408	0.000631	10.150168	-0.002670	0.024796	-0.004005	-0.408691	0.054199	-0.598145
07991		0.200792	-0.012254	10.064710	-0.000763	0.012398	0.008392	-0.411377	0.056641	-0.589355
07992		0.168772	-0.024419	10.131849	0.001717	0.015640	-0.004578	-0.406494	0.054199	-0.589111
07993		0.194567	-0.005359	10.156265	0.014496	0.014687	-0.008392	-0.408936	0.056641	-0.589355
07994		0.192899	0.008287	10.113542	0.014877	0.017548	-0.000954	-0.411377	0.054199	-0.592041
07995		0.176494	-0.017807	10.064707	0.009918	0.010109	-0.004578	-0.411377	0.058838	-0.592529
07996		0.181188	-0.010990	10.125748	0.005150	0.017166	-0.003242	-0.416260	0.054443	-0.592041
07997		0.206234	-0.006102	10.131862	0.000000	0.025368	-0.001526	-0.404053	0.054199	-0.592285
07998		0.192099	-0.012075	10.144055	0.002670	0.012589	0.003815	-0.408936	0.052002	-0.588867
